Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
-------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.3 (lin64) Build 2405991 Thu Dec  6 23:36:41 MST 2018
| Date         : Sun Sep  6 09:56:26 2020
| Host         : DESKTOP-VO2BSI1 running 64-bit Ubuntu 18.04.4 LTS
| Command      : report_utilization -hierarchical -file ./fpga_project/e-class/core_syn_area.txt
| Design       : fpga_top
| Device       : 7a35ticsg324-1L
| Design State : Synthesized
-------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+-----------------------------------------------------------------------------------------+-----------------------------------------+------------+------------+---------+------+-------+--------+--------+--------------+
|                                         Instance                                        |                  Module                 | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs  | RAMB36 | RAMB18 | DSP48 Blocks |
|     debug_memory_s_xactor_f_wr_resp                                                     |                FIFO2__parameterized2_10 |          4 |          4 |       0 |    0 |     4 |      0 |      0 |            0 |
|     debug_module                                                                        |                         mkriscvDebug013 |       1447 |       1447 |       0 |    0 |  1465 |      0 |      0 |            0 |
|       (debug_module)                                                                    |                         mkriscvDebug013 |       1135 |       1135 |       0 |    0 |  1174 |      0 |      0 |            0 |
|       dm_reset                                                                          |                              MakeReset0 |          5 |          5 |       0 |    0 |     1 |      0 |      0 |            0 |
|       master_xactor_f_rd_addr                                                           |                               FIFO2_505 |         40 |         40 |       0 |    0 |    70 |      0 |      0 |            0 |
|       master_xactor_f_rd_data                                                           |               FIFO2__parameterized0_506 |         85 |         85 |       0 |    0 |    70 |      0 |      0 |            0 |
|       master_xactor_f_wr_addr                                                           |                               FIFO2_507 |         42 |         42 |       0 |    0 |    70 |      0 |      0 |            0 |
|       master_xactor_f_wr_data                                                           |               FIFO2__parameterized1_508 |        131 |        131 |       0 |    0 |    74 |      0 |      0 |            0 |
|       master_xactor_f_wr_resp                                                           |               FIFO2__parameterized2_509 |          9 |          9 |       0 |    0 |     6 |      0 |      0 |            0 |
|     eclass                                                                              |                                mkeclass |       3657 |       3568 |      72 |   17 |  2383 |      0 |      0 |            4 |
|       (eclass)                                                                          |                                mkeclass |          2 |          2 |       0 |    0 |     0 |      0 |      0 |            0 |
|       _unnamed_                                                                         |                       mkeclass_axi4lite |       3655 |       3566 |      72 |   17 |  2383 |      0 |      0 |            4 |
|         (_unnamed_)                                                                     |                       mkeclass_axi4lite |          0 |          0 |       0 |    0 |    34 |      0 |      0 |            0 |
|         fetch_xactor_f_rd_addr                                                          |                               FIFO2_495 |         38 |         38 |       0 |    0 |    66 |      0 |      0 |            0 |
|         fetch_xactor_f_rd_data                                                          |               FIFO2__parameterized0_496 |         72 |         72 |       0 |    0 |    70 |      0 |      0 |            0 |
|         ff_atomic_state                                                                 |                                   FIFO1 |          0 |          0 |       0 |    0 |    33 |      0 |      0 |            0 |
|         ff_inst_access_fault                                                            |               FIFO2__parameterized3_497 |          2 |          2 |       0 |    0 |     2 |      0 |      0 |            0 |
|         ff_inst_request                                                                 |               FIFO2__parameterized0_498 |         39 |         39 |       0 |    0 |    68 |      0 |      0 |            0 |
|         ff_mem_request                                                                  |                   FIFO2__parameterized4 |        348 |        348 |       0 |    0 |   150 |      0 |      0 |            0 |
|         memory_xactor_f_rd_addr                                                         |                               FIFO2_499 |         39 |         39 |       0 |    0 |    70 |      0 |      0 |            0 |
|         memory_xactor_f_rd_data                                                         |               FIFO2__parameterized0_500 |        104 |        104 |       0 |    0 |    70 |      0 |      0 |            0 |
|         memory_xactor_f_wr_addr                                                         |                               FIFO2_501 |         39 |         39 |       0 |    0 |    70 |      0 |      0 |            0 |
|         memory_xactor_f_wr_data                                                         |               FIFO2__parameterized1_502 |         41 |         41 |       0 |    0 |    74 |      0 |      0 |            0 |
|         memory_xactor_f_wr_resp                                                         |               FIFO2__parameterized2_503 |          9 |          9 |       0 |    0 |     6 |      0 |      0 |            0 |
|         riscv                                                                           |                                 mkriscv |       2956 |       2867 |      72 |   17 |  1670 |      0 |      0 |            4 |
|           (riscv)                                                                       |                                 mkriscv |          8 |          8 |       0 |    0 |     0 |      0 |      0 |            0 |
|           fifof                                                                         |                                  FIFOL1 |          0 |          0 |       0 |    0 |    65 |      0 |      0 |            0 |
|           fifof_1                                                                       |                  FIFOL1__parameterized0 |         13 |         13 |       0 |    0 |    35 |      0 |      0 |            0 |
|           fifof_2                                                                       |                              FIFOL1_504 |        841 |        841 |       0 |    0 |    64 |      0 |      0 |            0 |
|           fifof_3                                                                       |                  FIFOL1__parameterized1 |          6 |          6 |       0 |    0 |    39 |      0 |      0 |            0 |
|           fifof_4                                                                       |                  FIFOL1__parameterized2 |        518 |        518 |       0 |    0 |    52 |      0 |      0 |            0 |
|           stage1                                                                        |                                mkstage1 |        639 |        567 |      72 |    0 |   165 |      0 |      0 |            0 |
|             (stage1)                                                                    |                                mkstage1 |         18 |         18 |       0 |    0 |    93 |      0 |      0 |            0 |
|             ff_memory_response                                                          |                   FIFO2__parameterized5 |        527 |        527 |       0 |    0 |    72 |      0 |      0 |            0 |
|             integer_rf_rf                                                               |                                 RegFile |         94 |         22 |      72 |    0 |     0 |      0 |      0 |            0 |
|           stage2                                                                        |                                mkstage2 |        413 |        396 |       0 |   17 |   285 |      0 |      0 |            4 |
|             (stage2)                                                                    |                                mkstage2 |         10 |         10 |       0 |    0 |    35 |      0 |      0 |            0 |
|             alu                                                                         |                                   mkalu |        352 |        335 |       0 |   17 |   175 |      0 |      0 |            4 |
|               (alu)                                                                     |                                   mkalu |          0 |          0 |       0 |    0 |     1 |      0 |      0 |            0 |
|               instance_fn_alu_0                                                         |                           module_fn_alu |          1 |          1 |       0 |    0 |     0 |      0 |      0 |            0 |
|               muldiv                                                                    |                                mkmuldiv |        351 |        334 |       0 |   17 |   174 |      0 |      0 |            4 |
|                 (muldiv)                                                                |                                mkmuldiv |         60 |         60 |       0 |    0 |    10 |      0 |      0 |            0 |
|                 divider                                                                 |                         mkrestoring_div |        274 |        274 |       0 |    0 |    97 |      0 |      0 |            0 |
|                   (divider)                                                             |                         mkrestoring_div |        274 |        274 |       0 |    0 |    97 |      0 |      0 |            0 |
|                   instance_singlestep_0                                                 |                       module_singlestep |          0 |          0 |       0 |    0 |     0 |      0 |      0 |            0 |
|                 mult                                                                    |                              multiplier |         17 |          0 |       0 |   17 |    67 |      0 |      0 |            4 |
|                   (mult)                                                                |                              multiplier |          0 |          0 |       0 |    0 |     0 |      0 |      0 |            0 |
|                   U0                                                                    |            multiplier_mult_gen_v12_0_14 |         17 |          0 |       0 |   17 |    67 |      0 |      0 |            4 |
|                     (U0)                                                                |            multiplier_mult_gen_v12_0_14 |          0 |          0 |       0 |    0 |     0 |      0 |      0 |            0 |
|                     i_mult                                                              |        multiplier_mult_gen_v12_0_14_viv |         17 |          0 |       0 |   17 |    67 |      0 |      0 |            4 |
|                       (i_mult)                                                          |        multiplier_mult_gen_v12_0_14_viv |          0 |          0 |       0 |    0 |     0 |      0 |      0 |            0 |
|                       gDSP.gDSP_only.iDSP                                               |                          multiplier_dsp |         17 |          0 |       0 |   17 |    67 |      0 |      0 |            4 |
|                         (gDSP.gDSP_only.iDSP)                                           |                          multiplier_dsp |          0 |          0 |       0 |    0 |     0 |      0 |      0 |            4 |
|                         use_prim.appDSP48[0].bppDSP48[0].need_output_delay.output_delay |   multiplier_delay_line__parameterized4 |          9 |          0 |       0 |    9 |    17 |      0 |      0 |            0 |
|                         use_prim.appDSP48[1].bppDSP48[0].need_output_delay.output_delay |   multiplier_delay_line__parameterized6 |          0 |          0 |       0 |    0 |    17 |      0 |      0 |            0 |
|                         use_prim.iBdelx[1].iBdely[0].need_delay_line.Bdelay             |   multiplier_delay_line__parameterized1 |          0 |          0 |       0 |    0 |    17 |      0 |      0 |            0 |
|                         use_prim.iBdelx[1].iBdely[1].need_delay_line.Bdelay             |   multiplier_delay_line__parameterized2 |          8 |          0 |       0 |    8 |    16 |      0 |      0 |            0 |
|             ff_memory_request                                                           |                  FIFOL1__parameterized3 |         51 |         51 |       0 |    0 |    75 |      0 |      0 |            0 |
|           stage3                                                                        |                                mkstage3 |        519 |        519 |       0 |    0 |   965 |      0 |      0 |            0 |
|             (stage3)                                                                    |                                mkstage3 |         53 |         53 |       0 |    0 |    37 |      0 |      0 |            0 |
|             csr                                                                         |                                   mkcsr |        466 |        466 |       0 |    0 |   928 |      0 |      0 |            0 |
|               (csr)                                                                     |                                   mkcsr |          1 |          1 |       0 |    0 |     0 |      0 |      0 |            0 |
|               csrfile                                                                   |                               mkcsrfile |        465 |        465 |       0 |    0 |   928 |      0 |      0 |            0 |
|     err_slave_s_xactor_f_rd_addr                                                        |                                FIFO2_11 |          2 |          2 |       0 |    0 |     2 |      0 |      0 |            0 |
|     err_slave_s_xactor_f_rd_data                                                        |                FIFO2__parameterized0_12 |          4 |          4 |       0 |    0 |     5 |      0 |      0 |            0 |
|     err_slave_s_xactor_f_wr_addr                                                        |                                FIFO2_13 |          2 |          2 |       0 |    0 |     2 |      0 |      0 |            0 |
|     err_slave_s_xactor_f_wr_data                                                        |                FIFO2__parameterized1_14 |          2 |          2 |       0 |    0 |     2 |      0 |      0 |            0 |
|     err_slave_s_xactor_f_wr_resp                                                        |                FIFO2__parameterized2_15 |          5 |          5 |       0 |    0 |     5 |      0 |      0 |            0 |
|     fabric_v_f_rd_mis_0                                                                 |                FIFO2__parameterized2_16 |         12 |         12 |       0 |    0 |     6 |      0 |      0 |            0 |
|     fabric_v_f_rd_mis_1                                                                 |                FIFO2__parameterized2_17 |          9 |          9 |       0 |    0 |     6 |      0 |      0 |            0 |
|     fabric_v_f_rd_mis_2                                                                 |                FIFO2__parameterized2_18 |          8 |          8 |       0 |    0 |     6 |      0 |      0 |            0 |
|     fabric_v_f_rd_mis_3                                                                 |                FIFO2__parameterized2_19 |         44 |         44 |       0 |    0 |     6 |      0 |      0 |            0 |
|     fabric_v_f_rd_mis_4                                                                 |                FIFO2__parameterized2_20 |         10 |         10 |       0 |    0 |     6 |      0 |      0 |            0 |
|     fabric_v_f_rd_mis_5                                                                 |                FIFO2__parameterized2_21 |          9 |          9 |       0 |    0 |     6 |      0 |      0 |            0 |
|     fabric_v_f_rd_mis_6                                                                 |                FIFO2__parameterized2_22 |          9 |          9 |       0 |    0 |     6 |      0 |      0 |            0 |
|     fabric_v_f_rd_mis_7                                                                 |                FIFO2__parameterized2_23 |          8 |          8 |       0 |    0 |     6 |      0 |      0 |            0 |
|     fabric_v_f_rd_mis_8                                                                 |                FIFO2__parameterized2_24 |         10 |         10 |       0 |    0 |     6 |      0 |      0 |            0 |
|     fabric_v_f_rd_sjs_0                                                                 |                   FIFO2__parameterized6 |        124 |        124 |       0 |    0 |    10 |      0 |      0 |            0 |
|     fabric_v_f_rd_sjs_1                                                                 |                FIFO2__parameterized6_25 |         93 |         93 |       0 |    0 |    10 |      0 |      0 |            0 |
|     fabric_v_f_rd_sjs_2                                                                 |                FIFO2__parameterized6_26 |        124 |        124 |       0 |    0 |    10 |      0 |      0 |            0 |
|     fabric_v_f_wr_mis_0                                                                 |                FIFO2__parameterized2_27 |          5 |          5 |       0 |    0 |     4 |      0 |      0 |            0 |
|     fabric_v_f_wr_mis_1                                                                 |                FIFO2__parameterized2_28 |          5 |          5 |       0 |    0 |     4 |      0 |      0 |            0 |
|     fabric_v_f_wr_mis_2                                                                 |                FIFO2__parameterized2_29 |          4 |          4 |       0 |    0 |     4 |      0 |      0 |            0 |
|     fabric_v_f_wr_mis_3                                                                 |                FIFO2__parameterized2_30 |          4 |          4 |       0 |    0 |     4 |      0 |      0 |            0 |
|     fabric_v_f_wr_mis_4                                                                 |                FIFO2__parameterized2_31 |          8 |          8 |       0 |    0 |     4 |      0 |      0 |            0 |
|     fabric_v_f_wr_mis_5                                                                 |                FIFO2__parameterized2_32 |          5 |          5 |       0 |    0 |     4 |      0 |      0 |            0 |
|     fabric_v_f_wr_mis_6                                                                 |                FIFO2__parameterized2_33 |          6 |          6 |       0 |    0 |     4 |      0 |      0 |            0 |
|     fabric_v_f_wr_mis_7                                                                 |                FIFO2__parameterized2_34 |          7 |          7 |       0 |    0 |     4 |      0 |      0 |            0 |
|     fabric_v_f_wr_mis_8                                                                 |                FIFO2__parameterized2_35 |          7 |          7 |       0 |    0 |     4 |      0 |      0 |            0 |
|     fabric_v_f_wr_sjs_0                                                                 |                FIFO2__parameterized6_36 |         32 |         32 |       0 |    0 |    10 |      0 |      0 |            0 |
|     fabric_v_f_wr_sjs_1                                                                 |                FIFO2__parameterized6_37 |         31 |         31 |       0 |    0 |    10 |      0 |      0 |            0 |
|     fabric_xactors_from_masters_0_f_rd_addr                                             |                                FIFO2_38 |        135 |        135 |       0 |    0 |    70 |      0 |      0 |            0 |
|     fabric_xactors_from_masters_0_f_rd_data                                             |                FIFO2__parameterized0_39 |         39 |         39 |       0 |    0 |    70 |      0 |      0 |            0 |
|     fabric_xactors_from_masters_0_f_wr_addr                                             |                                FIFO2_40 |        350 |        350 |       0 |    0 |    70 |      0 |      0 |            0 |
|     fabric_xactors_from_masters_0_f_wr_data                                             |                FIFO2__parameterized1_41 |         35 |         35 |       0 |    0 |    74 |      0 |      0 |            0 |
|     fabric_xactors_from_masters_0_f_wr_resp                                             |                FIFO2__parameterized2_42 |          6 |          6 |       0 |    0 |     6 |      0 |      0 |            0 |
|     fabric_xactors_from_masters_1_f_rd_addr                                             |                                FIFO2_43 |        175 |        175 |       0 |    0 |    70 |      0 |      0 |            0 |
|     fabric_xactors_from_masters_1_f_rd_data                                             |                FIFO2__parameterized0_44 |         39 |         39 |       0 |    0 |    70 |      0 |      0 |            0 |
|     fabric_xactors_from_masters_1_f_wr_addr                                             |                                FIFO2_45 |        200 |        200 |       0 |    0 |    70 |      0 |      0 |            0 |
|     fabric_xactors_from_masters_1_f_wr_data                                             |                FIFO2__parameterized1_46 |         40 |         40 |       0 |    0 |    74 |      0 |      0 |            0 |
|     fabric_xactors_from_masters_1_f_wr_resp                                             |                FIFO2__parameterized2_47 |          6 |          6 |       0 |    0 |     6 |      0 |      0 |            0 |
|     fabric_xactors_from_masters_2_f_rd_addr                                             |                                FIFO2_48 |         96 |         96 |       0 |    0 |    66 |      0 |      0 |            0 |
|     fabric_xactors_from_masters_2_f_rd_data                                             |                FIFO2__parameterized0_49 |         39 |         39 |       0 |    0 |    70 |      0 |      0 |            0 |
|     fabric_xactors_to_slaves_0_f_rd_addr                                                |                                FIFO2_50 |         18 |         18 |       0 |    0 |    32 |      0 |      0 |            0 |
|     fabric_xactors_to_slaves_0_f_rd_data                                                |                FIFO2__parameterized0_51 |         37 |         37 |       0 |    0 |    66 |      0 |      0 |            0 |
|     fabric_xactors_to_slaves_0_f_wr_addr                                                |                                FIFO2_52 |         18 |         18 |       0 |    0 |    32 |      0 |      0 |            0 |
|     fabric_xactors_to_slaves_0_f_wr_data                                                |                FIFO2__parameterized1_53 |         41 |         41 |       0 |    0 |    74 |      0 |      0 |            0 |
|     fabric_xactors_to_slaves_0_f_wr_resp                                                |                FIFO2__parameterized2_54 |          2 |          2 |       0 |    0 |     2 |      0 |      0 |            0 |
|     fabric_xactors_to_slaves_1_f_rd_addr                                                |                                FIFO2_55 |         21 |         21 |       0 |    0 |    38 |      0 |      0 |            0 |
|     fabric_xactors_to_slaves_1_f_rd_data                                                |                FIFO2__parameterized0_56 |         38 |         38 |       0 |    0 |    68 |      0 |      0 |            0 |
|     fabric_xactors_to_slaves_1_f_wr_addr                                                |                                FIFO2_57 |         21 |         21 |       0 |    0 |    38 |      0 |      0 |            0 |
|     fabric_xactors_to_slaves_1_f_wr_data                                                |                FIFO2__parameterized1_58 |         38 |         38 |       0 |    0 |    66 |      0 |      0 |            0 |
|     fabric_xactors_to_slaves_1_f_wr_resp                                                |                FIFO2__parameterized2_59 |          5 |          5 |       0 |    0 |     4 |      0 |      0 |            0 |
|     fabric_xactors_to_slaves_2_f_rd_addr                                                |                                FIFO2_60 |          9 |          9 |       0 |    0 |    14 |      0 |      0 |            0 |
|     fabric_xactors_to_slaves_2_f_rd_data                                                |                FIFO2__parameterized0_61 |         37 |         37 |       0 |    0 |    66 |      0 |      0 |            0 |
|     fabric_xactors_to_slaves_2_f_wr_addr                                                |                                FIFO2_62 |          3 |          3 |       0 |    0 |     2 |      0 |      0 |            0 |
|     fabric_xactors_to_slaves_2_f_wr_data                                                |                FIFO2__parameterized1_63 |          2 |          2 |       0 |    0 |     2 |      0 |      0 |            0 |
|     fabric_xactors_to_slaves_2_f_wr_resp                                                |                FIFO2__parameterized2_64 |          5 |          5 |       0 |    0 |     4 |      0 |      0 |            0 |
|     fabric_xactors_to_slaves_3_f_rd_addr                                                |                                FIFO2_65 |         14 |         14 |       0 |    0 |    23 |      0 |      0 |            0 |
|     fabric_xactors_to_slaves_3_f_rd_data                                                |                FIFO2__parameterized0_66 |         39 |         39 |       0 |    0 |    70 |      0 |      0 |            0 |
|     fabric_xactors_to_slaves_3_f_wr_addr                                                |                                FIFO2_67 |         15 |         15 |       0 |    0 |    23 |      0 |      0 |            0 |
|     fabric_xactors_to_slaves_3_f_wr_data                                                |                FIFO2__parameterized1_68 |         19 |         19 |       0 |    0 |    34 |      0 |      0 |            0 |
|     fabric_xactors_to_slaves_3_f_wr_resp                                                |                FIFO2__parameterized2_69 |          8 |          8 |       0 |    0 |     6 |      0 |      0 |            0 |
|     fabric_xactors_to_slaves_4_f_rd_addr                                                |                                FIFO2_70 |         18 |         18 |       0 |    0 |    30 |      0 |      0 |            0 |
|     fabric_xactors_to_slaves_4_f_rd_data                                                |                FIFO2__parameterized0_71 |         38 |         38 |       0 |    0 |    70 |      0 |      0 |            0 |
|     fabric_xactors_to_slaves_4_f_wr_addr                                                |                                FIFO2_72 |         19 |         19 |       0 |    0 |    30 |      0 |      0 |            0 |
|     fabric_xactors_to_slaves_4_f_wr_data                                                |                FIFO2__parameterized1_73 |         37 |         37 |       0 |    0 |    66 |      0 |      0 |            0 |
|     fabric_xactors_to_slaves_4_f_wr_resp                                                |                FIFO2__parameterized2_74 |          7 |          7 |       0 |    0 |     6 |      0 |      0 |            0 |
|     fabric_xactors_to_slaves_5_f_rd_addr                                                |                                FIFO2_75 |         13 |         13 |       0 |    0 |    22 |      0 |      0 |            0 |
|     fabric_xactors_to_slaves_5_f_rd_data                                                |                FIFO2__parameterized0_76 |         38 |         38 |       0 |    0 |    70 |      0 |      0 |            0 |
|     fabric_xactors_to_slaves_5_f_wr_addr                                                |                                FIFO2_77 |         37 |         37 |       0 |    0 |    66 |      0 |      0 |            0 |
|     fabric_xactors_to_slaves_5_f_wr_data                                                |                FIFO2__parameterized1_78 |         38 |         38 |       0 |    0 |    66 |      0 |      0 |            0 |
|     fabric_xactors_to_slaves_5_f_wr_resp                                                |                FIFO2__parameterized2_79 |          7 |          7 |       0 |    0 |     6 |      0 |      0 |            0 |
|     fabric_xactors_to_slaves_6_f_rd_addr                                                |                                FIFO2_80 |         25 |         25 |       0 |    0 |    45 |      0 |      0 |            0 |
|     fabric_xactors_to_slaves_6_f_rd_data                                                |                FIFO2__parameterized0_81 |         38 |         38 |       0 |    0 |    70 |      0 |      0 |            0 |
|     fabric_xactors_to_slaves_6_f_wr_addr                                                |                                FIFO2_82 |         40 |         40 |       0 |    0 |    70 |      0 |      0 |            0 |
|     fabric_xactors_to_slaves_6_f_wr_data                                                |                FIFO2__parameterized1_83 |         41 |         41 |       0 |    0 |    74 |      0 |      0 |            0 |
|     fabric_xactors_to_slaves_6_f_wr_resp                                                |                FIFO2__parameterized2_84 |          6 |          6 |       0 |    0 |     6 |      0 |      0 |            0 |
|     fabric_xactors_to_slaves_7_f_rd_addr                                                |                                FIFO2_85 |         16 |         16 |       0 |    0 |    24 |      0 |      0 |            0 |
|     fabric_xactors_to_slaves_7_f_rd_data                                                |                FIFO2__parameterized0_86 |         37 |         37 |       0 |    0 |    66 |      0 |      0 |            0 |
|     fabric_xactors_to_slaves_7_f_wr_addr                                                |                                FIFO2_87 |         20 |         20 |       0 |    0 |    24 |      0 |      0 |            0 |
|     fabric_xactors_to_slaves_7_f_wr_data                                                |                FIFO2__parameterized1_88 |         57 |         57 |       0 |    0 |    74 |      0 |      0 |            0 |
|     fabric_xactors_to_slaves_7_f_wr_resp                                                |                FIFO2__parameterized2_89 |          2 |          2 |       0 |    0 |     2 |      0 |      0 |            0 |
|     fabric_xactors_to_slaves_8_f_rd_addr                                                |                                FIFO2_90 |          3 |          3 |       0 |    0 |     2 |      0 |      0 |            0 |
|     fabric_xactors_to_slaves_8_f_rd_data                                                |                FIFO2__parameterized0_91 |          8 |          8 |       0 |    0 |     6 |      0 |      0 |            0 |
|     fabric_xactors_to_slaves_8_f_wr_addr                                                |                                FIFO2_92 |          3 |          3 |       0 |    0 |     2 |      0 |      0 |            0 |
|     fabric_xactors_to_slaves_8_f_wr_data                                                |                FIFO2__parameterized1_93 |          2 |          2 |       0 |    0 |     2 |      0 |      0 |            0 |
|     fabric_xactors_to_slaves_8_f_wr_resp                                                |                FIFO2__parameterized2_94 |          8 |          8 |       0 |    0 |     6 |      0 |      0 |            0 |
|     jtag_tap                                                                            |                             mkxilinxdtm |        122 |        122 |       0 |    0 |   265 |      0 |      0 |            0 |
|       (jtag_tap)                                                                        |                             mkxilinxdtm |         60 |         60 |       0 |    0 |   190 |      0 |      0 |            0 |
|       request_to_DM                                                                     |                   FIFO1__parameterized0 |          5 |          5 |       0 |    0 |    41 |      0 |      0 |            0 |
|       response_from_DM                                                                  |                   FIFO1__parameterized1 |         57 |         57 |       0 |    0 |    34 |      0 |      0 |            0 |
|     mem_dut_dmemMSB                                                                     |             BRAM2BELoad__parameterized0 |          0 |          0 |       0 |    0 |     0 |     32 |      0 |            0 |
|     mem_s_xactor_f_rd_addr                                                              |                                FIFO2_95 |         19 |         19 |       0 |    0 |    33 |      0 |      0 |            0 |
|     mem_s_xactor_f_rd_data                                                              |                FIFO2__parameterized0_96 |         38 |         38 |       0 |    0 |    66 |      0 |      0 |            0 |
|     mem_s_xactor_f_wr_addr                                                              |                                FIFO2_97 |         23 |         23 |       0 |    0 |    32 |      0 |      0 |            0 |
|     mem_s_xactor_f_wr_data                                                              |                FIFO2__parameterized1_98 |         42 |         42 |       0 |    0 |    74 |      0 |      0 |            0 |
|     mem_s_xactor_f_wr_resp                                                              |                FIFO2__parameterized2_99 |          2 |          2 |       0 |    0 |     2 |      0 |      0 |            0 |
|     mixed_cluster                                                                       |                         mkmixed_cluster |       3206 |       3206 |       0 |    0 |  2711 |      0 |      0 |            0 |
|       (mixed_cluster)                                                                   |                         mkmixed_cluster |          1 |          1 |       0 |    0 |     0 |      0 |      0 |            0 |
|       c2m_xactor_f_rd_addr                                                              |                               FIFO2_423 |         26 |         26 |       0 |    0 |    46 |      0 |      0 |            0 |
|       c2m_xactor_f_rd_data                                                              |               FIFO2__parameterized0_424 |         40 |         40 |       0 |    0 |    70 |      0 |      0 |            0 |
|       c2m_xactor_f_wr_addr                                                              |                               FIFO2_425 |         40 |         40 |       0 |    0 |    70 |      0 |      0 |            0 |
|       c2m_xactor_f_wr_data                                                              |               FIFO2__parameterized1_426 |         42 |         42 |       0 |    0 |    74 |      0 |      0 |            0 |
|       c2m_xactor_f_wr_resp                                                              |               FIFO2__parameterized2_427 |          8 |          8 |       0 |    0 |     6 |      0 |      0 |            0 |
|       c2s_xactor_f_rd_addr                                                              |                               FIFO2_428 |         26 |         26 |       0 |    0 |    46 |      0 |      0 |            0 |
|       c2s_xactor_f_rd_data                                                              |               FIFO2__parameterized0_429 |         40 |         40 |       0 |    0 |    70 |      0 |      0 |            0 |
|       c2s_xactor_f_wr_addr                                                              |                               FIFO2_430 |         40 |         40 |       0 |    0 |    70 |      0 |      0 |            0 |
|       c2s_xactor_f_wr_data                                                              |               FIFO2__parameterized1_431 |         42 |         42 |       0 |    0 |    74 |      0 |      0 |            0 |
